 v-sweep         vdd             gate            ax_id0          out_vth0        out_u0          out_rdsw        out_nfactor     out_vsat        out_eta0       
 0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.43246635e-42  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.22000000e+00  1.22000000e+00  0.00000000e+00  1.22302168e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.23000000e+00  1.23000000e+00  0.00000000e+00  1.23279165e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.24000000e+00  1.24000000e+00  0.00000000e+00  1.24256161e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.25000000e+00  1.25000000e+00  0.00000000e+00  1.25233157e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.26000000e+00  1.26000000e+00  0.00000000e+00  1.26298971e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.27000000e+00  1.27000000e+00  0.00000000e+00  1.27275968e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.28000000e+00  1.28000000e+00  0.00000000e+00  1.28252964e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.29000000e+00  1.29000000e+00  0.00000000e+00  1.29318778e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.30000000e+00  1.30000000e+00  0.00000000e+00  1.30295774e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.31000000e+00  1.31000000e+00  0.00000000e+00  1.31272770e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.32000000e+00  1.32000000e+00  0.00000000e+00  1.32338585e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.33000000e+00  1.33000000e+00  0.00000000e+00  1.33315581e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.34000000e+00  1.34000000e+00  0.00000000e+00  1.34292577e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.35000000e+00  1.35000000e+00  0.00000000e+00  1.35269573e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.36000000e+00  1.36000000e+00  0.00000000e+00  1.36246570e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.37000000e+00  1.37000000e+00  0.00000000e+00  1.37223566e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.38000000e+00  1.38000000e+00  0.00000000e+00  1.38378198e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.39000000e+00  1.39000000e+00  0.00000000e+00  1.39355194e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.40000000e+00  1.40000000e+00  0.00000000e+00  1.40332190e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.41000000e+00  1.41000000e+00  0.00000000e+00  1.41309187e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.42000000e+00  1.42000000e+00  0.00000000e+00  1.42286183e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
 1.43000000e+00  1.43000000e+00  0.00000000e+00  1.43263179e-12  4.32057652e-01  7.24258752e-02  9.28352835e+01  1.12204055e+01  1.47236578e+05 -2.07855562e-01 
